,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
99,rxn01345_d0_f,3.4643567,3.9110503,3.7014472,3.6560316,3.8312838,0.0
100,rxn01353_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402,0.0
101,rxn01396_d0,0.0,0.0,0.0,0.0,0.0,0.0
102,rxn01434_d0,0.110306785,0.43858755,0.28828853,0.31124374,0.42215776,0.29808779390101564
103,rxn01465_d0_f,1.4669888,1.1150339,1.2394643,1.1434666,1.209173,0.0
104,rxn01476_d0_f,3.9676447,4.0536532,3.926954,3.9066274,4.032614,0.0
105,rxn01486_d0,0.0,0.0,0.0,0.0,0.0,0.0
106,rxn01512_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402,0.0
107,rxn01539_d0_f,1.2707642,1.2402319,1.2320567,1.2514925,1.2505656,0.0
108,rxn01636_d0_f,2.4613361,2.203643,2.3469865,2.3004858,2.2504733,0.29808779390101564
109,rxn01637_d0_f,0.0,0.22122534,0.0,0.0,0.08246469,0.0
110,rxn01643_d0_f,2.3493373,2.9289515,2.6271164,2.6037405,2.8271754,0.0
111,rxn01644_d0,7.374455,6.1122665,6.52534,6.613062,6.217084,0.2601493474045228
112,rxn01652_d0_f,3.2584136,3.3971095,3.3800468,3.391267,3.413679,0.0
113,rxn01673_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402,0.0
114,rxn01678_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402,0.0
115,rxn01739_d0,0.0,0.0,0.0,0.0,0.0,1.8887926577182537
116,rxn01740_d0_f,0.758779,0.7663939,0.7490778,0.752183,0.76323646,0.0
117,rxn01807_d0,0.0,0.0,0.0,0.0,0.0,0.0
118,rxn01827_d0,0.0,0.0,0.0,0.0,0.0,0.0
119,rxn01917_d0_f,3.4153106,3.1637046,3.325157,3.2866638,3.2036636,0.2980877939010154
120,rxn01974_d0_f,8.1472,7.786886,7.991401,7.9624543,7.8627405,0.2601493474045228
