,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx,v_Control,v_FeLim,v_FeEX,v_ZnLim,v_ZnEx
265,rxn25719_d0_f,0.0,0.0,0.0,0.0,0.0,0.04788746352221576,0.013921559944949301,0.050509905731514225,0.05591563678602471,0.030871398920468338,1225.3697483475555,975.9091631241708,1170.880497151236,1259.348635650436,810.0632369388544
266,rxn25743_d0_f,0.0,0.0,0.0,0.0,0.0,0.6538480596302534,0.19008283770988454,0.689654482103367,0.7634635022707214,0.4215133314140867,942.733038729396,1528.421442643688,1113.406994602648,1045.0218997798509,804.8936102632232
267,rxn25747_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.6702502191932,1528.3196457389406,1113.332838756222,1044.9522985613503,804.8400022229998
268,rxn25750_d0_f,1.9274292,0.0,0.0,0.0,2.6600952,0.0,0.0,0.0,0.0,0.0,942.6702502191932,1528.3196457389406,1113.332838756222,1044.9522985613503,804.8400022229998
269,rxn25762_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,rxn26013_d0_f,0.0,0.0,0.0,0.0,0.0,0.044203812482045336,0.012850670718414742,0.04662452836755161,0.05161443395633051,0.028496675926586165,1000.0,1000.0,1000.0,1000.0,1000.0
271,rxn26037_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.3665975814836,1087.9277105719343,1045.42432941294,1036.4680574573092,870.4052050269985
272,rxn26754_d0,210.54395,18.164627,29.256378,23.637878,20.949158,339.83412161561216,98.79456432717794,358.44432309916357,396.80617669259,219.07935738370233,489.28466432554256,489.28466432554256,489.28466432554256,489.28466432554256,489.28466432554256
273,rxn27029_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,rxn27030_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,rxn27259_d0,0.24513634,0.098402,0.23580155,0.23671274,0.15071672,0.1436623905666473,0.0417646798348479,0.15152971719454264,0.16774691035807404,0.09261419676140502,0.2451363422370613,0.2451363422370613,0.2451363422370613,0.2451363422370613,0.2451363422370613
