	Control	FeLim	FeEx	ZnLim	ZnEx
rxn02380_d0_r	0.052616775	0.12139689	0.08554834	0.08486862	0.09422581
rxn02402_d0	-2.6696994	-2.6602502	-2.7791219	-2.7635677	-2.7093687
rxn02465_d0_r	3.4898798	2.6677778	3.1988132	3.0750322	2.7731032
rxn02474_d0_r	1.8746842	1.9136138	1.8535795	1.8736995	1.9122692
rxn02476_d0_r	0.87373316	0.9147698	0.8382459	0.8529828	0.95397836
rxn02789_d0_r	3.942971	3.727663	3.783317	3.7827349	3.7525954
rxn02811_d0_r	-0.12088406	-0.08241145	-0.0958631	-0.093693346	-0.0871231
rxn02832_d0	-0.19326809	-0.24792868	-0.3228268	-0.31020075	-0.2082084
rxn02835_d0_r	0.26091343	0.07564835	0.17741685	0.16798763	0.1567543
rxn02914_d0_r	7.3230624	6.406031	7.394019	7.1734967	6.6488566
rxn02928_d0_r	0.627861	0.853501	0.69552946	0.69917715	0.8405659
rxn02929_d0_r	7.477575	6.40447	7.0873017	6.979026	6.461045
rxn02938_d0_r	13.0785885	13.256644	13.223133	13.590779	13.232726
rxn02988_d0_r	0.8643081	0.47851643	0.770343	0.75609976	0.6191648
rxn03062_d0_r	6.237878	5.973832	6.0008574	6.0279183	6.0815425
rxn03080_d0_r	2.9084065	2.9744506	3.1787214	3.1554756	2.8074582
rxn03108_d0_r	0.27454638	0.2903817	0.18471713	0.1959779	0.24071512
rxn03135_d0	-2.9782448	-2.851102	-2.6204784	-2.6888182	-2.9243536
rxn03136_d0_r	0.4920483	0.4654266	0.48596838	0.47753733	0.49548087
rxn03175_d0_r	0.38005146	0.18288866	0.2192346	0.2117149	0.24344154
rxn03907_d0_r	0.26074028	0.27791587	0.2844814	0.28043944	0.27808708
rxn03958_d0_r	-0.15351884	-0.15168408	-0.16261326	-0.16352369	-0.1549494
rxn03983_d0	5.8311567	4.053673	4.5049105	4.4483895	4.4907994
rxn04996_d0	-0.55654645	-0.7989603	-0.7478498	-0.74583054	-0.7231595
rxn05039_d0_r	4.107809	4.1892977	4.10321	4.1073766	4.146645
rxn05105_d0	-0.37589228	-0.4009898	-0.37915924	-0.3845095	-0.3982776
rxn05106_d0_r	0.40131316	0.34602785	0.35478967	0.3618116	0.38055676
rxn05324_d0	1.9027935	2.1775577	2.0576258	2.0044522	1.7325145
rxn05325_d0	1.2294986	0.9469031	1.0263153	1.0255604	1.0312562
rxn05326_d0	1.0370646	0.6358033	0.8064185	0.7303994	0.6702393
rxn05330_d0_r	1.5184797	1.7488148	1.6694343	1.6952726	1.6659441
rxn05331_d0_r	0.6051727	0.5467812	0.59662044	0.6080992	0.68492943
rxn05335_d0_r	1.3622301	1.5290368	1.5397811	1.4912564	1.410521
rxn05337_d0_r	0.42817605	0.30333263	0.27890164	0.27237654	0.2813439
rxn05338_d0	0.35186973	0.085351564	0.15355265	0.18179496	0.20032361
rxn05340_d0_r	0.37035415	0.33163702	0.30310163	0.29413062	0.27332747
rxn05342_d0_r	0.38661563	0.2569238	0.2500425	0.26111552	0.27946162
rxn05465_d0_r	-0.27264696	-0.2833175	-0.27819437	-0.2800797	-0.3003494
rxn07441_d0_r	5.736695	5.0074434	5.5942073	5.4709263	4.947899
rxn08392_d0_r	2.1950715	2.4780061	2.469465	2.3925943	2.2843547
rxn08436_d0_r	-0.013884688	-0.04664112	-0.029872555	-0.030883294	-0.037155773
rxn15021_d0	-4.7346787	-4.754513	-4.678456	-4.648613	-4.690139
rxn15116_d0_r	8.500928	8.385901	8.614664	8.594922	8.494045
rxn15250_d0_r	8.432325	8.663221	8.33991	8.372897	8.526248
rxn15271_d0_r	-0.46629313	-0.45294833	-0.39914876	-0.4024387	-0.4298707
rxn15280_d0_r	6.1937	6.2160435	6.239552	6.216297	6.224318
rxn15298_d0_r	3.1370072	3.3149312	3.2205174	3.2647567	3.3514106
rxn15364_d0_r	2.2174907	2.3679395	2.4583757	2.4665706	2.476083
rxn15494_d0_r	-0.6457762	-0.74640286	-0.65712273	-0.682451	-0.76322657
rxn17469_d0	0.009197745	-0.1346338	-0.07264586	-0.08593517	-0.13357271
rxn17744_d0_r	7.69824	7.512945	7.590637	7.572044	7.584356
rxn17803_d0_r	12.429975	14.2687845	13.767691	13.875242	14.010457
rxn18936_d0_r	-0.10807332	-0.06623597	-0.08148389	-0.07786233	-0.07597305
rxn18937_d0_r	4.1728315	4.435658	4.3960605	4.3011336	4.146146
rxn19027_d0_r	-0.22445387	-0.2440287	-0.23682213	-0.2374076	-0.24346085
rxn19029_d0_r	0.36958262	0.3674672	0.3146059	0.3230247	0.3568421
rxn19240_d0_r	0.90960294	0.41794872	0.7801336	0.6888025	0.46449748
rxn19241_d0_r	0.120546825	0.121367745	0.09387913	0.08621825	0.13440625
rxn19242_d0_r	0.9913986	0.48426569	0.8390984	0.75938755	0.5305611
rxn19343_d0_r	0.02881815	0.4123429	0.24268419	0.2827605	0.35149637
