rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx
rxn01334_d0_f,-0.15290862,-0.15841068,-0.15758221,-0.15821381,-0.15842244
rxn01345_d0_f,4.6185293,4.9073944,4.8390374,4.808415,4.883183
rxn01353_d0_f,0.64328784,0.6577577,0.6416267,0.6386231,0.65144455
rxn01396_d0,-2.0366833,-2.2254972,-2.1354487,-2.1712384,-2.203473
rxn01434_d0,1.6656232,1.8947515,1.9787321,1.941838,1.9339454
rxn01465_d0_f,-0.58593214,-0.59894544,-0.5997576,-0.6144165,-0.59891325
rxn01476_d0_f,0.77676964,0.7811487,0.7939076,0.79039407,0.8114336
rxn01486_d0,-1.5750992,-1.6089664,-1.5893798,-1.5903696,-1.5921557
rxn01512_d0_f,0.64328784,0.6577577,0.6416267,0.6386231,0.65144455
rxn01539_d0_f,0.80767137,0.6501888,0.7665867,0.7740401,0.7081052
rxn01636_d0_f,2.543003,2.0722694,2.4128053,2.3331006,2.1728995
rxn01637_d0_f,-0.30049998,-0.1711228,-0.26311126,-0.23970138,-0.19409452
rxn01643_d0_f,0.37304017,0.56077576,0.493669,0.4799446,0.54408085
rxn01644_d0,13.1114855,12.12418,12.525694,12.599416,12.283804
rxn01652_d0_f,3.6749415,3.7092552,3.7165287,3.711311,3.7120023
rxn01673_d0_f,0.64328784,0.6577577,0.6416267,0.6386231,0.65144455
rxn01678_d0_f,0.64328784,0.6577577,0.6416267,0.6386231,0.65144455
rxn01739_d0,-3.3070931,-3.190166,-3.3062642,-3.2939641,-3.2279494
rxn01740_d0_f,2.4598615,2.3278482,2.4665773,2.4525666,2.3745303
rxn01807_d0,-2.645397,-2.7343943,-2.6675863,-2.6809607,-2.7055087
rxn01827_d0,-16.928747,-17.863558,-17.392975,-17.423996,-17.667023
rxn01917_d0_f,1.9339346,1.6983904,1.851073,1.8057809,1.7294481
rxn01974_d0_f,7.943549,7.5295515,7.7659535,7.7295675,7.596393
rxn01975_d0_f,0.653027,0.6289788,0.692151,0.6725237,0.6444465
rxn02159_d0_f,0.3187509,0.41477203,0.36933774,0.36192486,0.39133492
rxn02212_d0,-0.40930417,-0.12581827,-0.3778568,-0.3610951,-0.23891397
rxn02213_d0,-1.5614972,-1.4136416,-1.5795906,-1.5601206,-1.4827617
rxn02251_d0,-21.278088,-23.100744,-22.255932,-22.300179,-22.74333
rxn02305_d0,-2.4334216,-2.2156723,-2.363078,-2.3675306,-2.2858028
rxn02320_d0_f,0.003441322,0.035114653,0.007513281,0.016932342,0.036431316
